
1,2
2,3
3,6
4,9
5,4
6,7
7,7
8,4
9,3
10,7
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
11,50
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
12,54
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
54,30
54,30

54,30
54,30

54,30
16,56
16,56
16,56
16,56
16,56
16,56
16,56
16,56
16,56
16,56
16,56
16,56
16,56
16,56
16,56
16,56

26,85
16,56
16,56
16,56
16,56
16,5616,56
16,56
16,56
26,54
26,54

26,54


26,54

26,54

26,54
26,54

26,54

26,54

26,54

26,54

